id,language,code,error,stack_trace,bug_type,severity,root_cause,fix
1,typescript,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,HIGH,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
2,java,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,LOW,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
3,javascript,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
4,javascript,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,LOW,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
5,java,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,MEDIUM,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
6,java,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,MEDIUM,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
7,javascript,"response = requests.get('https://api.example.com/data')
print(response.json())",requests.exceptions.JSONDecodeError: Expecting value,"File ""main.py"", line 2, in <module>
JSONDecodeError: Expecting value",API Error,HIGH,"The API returned a non-JSON (e.g. HTML error) response, likely due to a bad endpoint or auth failure.","Check response.status_code before parsing, and verify the endpoint/auth."
8,typescript,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,HIGH,The react package is missing from node_modules.,Run: npm install react react-dom.
9,python,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
10,typescript,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
11,javascript,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,MEDIUM,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
12,python,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,HIGH,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
13,java,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
14,python,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,LOW,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
15,javascript,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,MEDIUM,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
16,javascript,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,HIGH,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
17,python,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
18,java,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,LOW,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
19,python,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,LOW,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
20,javascript,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
21,python,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
22,javascript,"response = requests.get('https://api.example.com/data')
print(response.json())",requests.exceptions.JSONDecodeError: Expecting value,"File ""main.py"", line 2, in <module>
JSONDecodeError: Expecting value",API Error,MEDIUM,"The API returned a non-JSON (e.g. HTML error) response, likely due to a bad endpoint or auth failure.","Check response.status_code before parsing, and verify the endpoint/auth."
23,python,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,LOW,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
24,typescript,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,LOW,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
